repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
CherryHQ/cherry-studio,rejected,"Standalone Electron AI chat desktop app; 'deepseek-harness' is only a topic, README has no DSH load path or Cordis mount.",,,AGPL-3.0,,,,"Fetched README.md (HEAD) and package.json (name CherryStudio); grep found no dsh/cordis/profile-mount signals, only model mentions of DeepSeek.",2026-08-14
whiteguo233/OpenBiliClaw,watchlist,README announces a DSH client plugin but the loadable plugin lives in a separate repo (whiteguo233/dsh-openbiliclaw); this repo is the local backend + browser extension with no DSH load path itself.,跨平台个性化内容发现 Agent（本地后端 + 浏览器插件），DSH 客户端插件指向独立仓库,,MIT,medium,采集浏览器 Cookie/登录会话与跨平台使用数据，调用 LLM API Key；数据默认存本机 SQLite,search_browser,"Fetched README.md; lines announce DSH install but link to github.com/whiteguo233/dsh-openbiliclaw, no dsh plugin --profile add command in this repo.",2026-08-14
paean-ai/deeptide,rejected,"Standalone Swift-native macOS / CLI coding agent; 'DeepSeek' refers to the API/model, not DeepSeek Harness; no DSH load path.",,,MIT,,,,"Fetched README.md and package.json (name deeptide); grep found no dsh/cordis/plugin mount, only DeepSeek API key usage.",2026-08-14
nutshellai-tech/mobius,rejected,"Standalone self-evolving Agent OS/TUI; dsh-plugin topics only, README has no DSH/Cordis load path or mention.",,,Not found,,,,Fetched README.md (HEAD); grep for dsh/cordis/deepseek/harness returned nothing; root package.json 404 (monorepo).,2026-08-14
yejiming/MuseAI,rejected,"Standalone local AI companion web app; 'dsh' topic only, DeepSeek = model API; no DSH load path.",,,Not found,,,,"Fetched README.md and package.json (name museai); no dsh field or cordis entry, only model-provider mentions.",2026-08-14
Anionex/agent-vision-toolkit,watchlist,"Vision CLIs + skill for Codex/Claude Code/Pi/OpenCode; native DSH support is a separate submodule repo (Anionex/dsh-vision-toolkit), so no DSH load path exists in this repo.",给纯文本 LLM 提供视觉能力（图片问答、长截图 OCR、UI 还原、GUI 自动化）的 CLI + Skill，可接入 Codex/Claude Code/OpenCode 等,,MIT,medium,本地图像处理 + 可选视觉 API Key；GUI 自动化涉及屏幕/浏览器操作,vision,"Fetched README.md; states DSH support via linked/submodule package dsh-vision-toolkit, no dsh plugin --profile add in this repo.",2026-08-14
linhay/harmony-next.skills,rejected,"HarmonyOS NEXT offline skill/reference pack for Gemini CLI/Claude Code/Codex; not a DSH skill or plugin; dsh-plugin topic only, no DSH load path.",,,Not found,,,,"Fetched README.md; SKILL.md targets other AI assistants, grep found no dsh/cordis/deepseek/harness loading signal.",2026-08-14
alaliqing/claude-paper,rejected,Claude Code plugin (marketplace install via /plugin install); not a DSH plugin.,,,MIT,,,,"Fetched README.md; install path is Claude Code marketplace, no dsh plugin --profile add or Cordis mount.",2026-08-14
cofy-x/axern,rejected,"Sandbox/execution infrastructure for AI agents (CLI + SDKs); non-plugin infra, no DSH load path.",,,Apache-2.0,,,,"Fetched README.md; install is brew/curl installer for standalone CLI, grep found no dsh/cordis loading signal.",2026-08-14
openma-ai/open-managed-agents,rejected,"Self-hosted Claude Managed Agents API implementation / infra; non-plugin infra, no DSH load path.",,,Apache-2.0,,,,"Fetched README.md; Docker/wrangler deploy standalone platform, 'harness' is generic meta-harness, no dsh/cordis signal.",2026-08-14
